EquipmentNo,Age (Yrs),Station Name,24Hr,AM,PM,Outages,Scheduled,Non-Scheduled,Entrapments
EL326,1,Chambers St/WTC/Park Place - A/C/E/2/3 Line(s),97.19 %,98.61 %,94.23 %,9,1,8,0
EL328,7,Broadway-Lafayette/Bleecker St - B/D/F/6 Line(s),98.84 %,100.00 %,100.00 %,9,1,8,0
EL329,7,Broadway-Lafayette/Bleecker St - B/D/F/6 Line(s),100.00 %,100.00 %,100.00 %,1,0,1,0
EL330,7,Broadway-Lafayette/Bleecker St - B/D/F/6 Line(s),94.97 %,93.38 %,96.67 %,7,1,6,0
EL331,7,Broadway-Lafayette/Bleecker St - B/D/F/6 Line(s),99.10 %,97.56 %,100.00 %,4,0,4,0
EL332,7,Broadway-Lafayette/Bleecker St - B/D/F/6 Line(s),96.67 %,97.69 %,94.58 %,5,2,3,0
EL333,14,West 4 St - Washington Sq - A/B/C/D/E/F/M Line(s),97.75 %,100.00 %,96.72 %,8,2,6,0
EL334,14,West 4 St - Washington Sq - A/B/C/D/E/F/M Line(s),83.60 %,84.88 %,86.67 %,6,2,4,0
EL335,14,West 4 St - Washington Sq - A/B/C/D/E/F/M Line(s),96.72 %,95.00 %,100.00 %,5,2,3,0
EL336,10,Chambers St - 1/2/3 Line(s),99.21 %,100.00 %,97.83 %,3,1,2,0
EL337,10,Chambers St - 1/2/3 Line(s),98.41 %,98.27 %,100.00 %,2,1,1,0
EL338,10,Chambers St - 1/2/3 Line(s),99.31 %,100.00 %,100.00 %,1,1,0,0
EL339,20,Franklin Av - C/S Line(s),99.49 %,99.67 %,100.00 %,2,0,2,0
EL340,20,Franklin Av - C/S Line(s),98.65 %,100.00 %,100.00 %,2,1,1,0
EL341,13,Euclid Av - A/C Line(s),97.88 %,97.98 %,98.42 %,4,1,3,0
